web_scraper_order,web_scraper_start_url,pagination,data,price,data2,data3,data4,rating,data6,data16
"1786479238-1","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2015 Honda City 1.5 (ปี 14-18) SV+ Sedan - SV","269,000 บาท","HONDA CITY, 1.5 SV+ i-VTEC 2015 รถบ้านแท้มือเดียวป้ายแดง วิ่ง 173,114 KM -กุญแจครบ 2 ดอก ...","170 - 175K กม.","กรุงเทพมหานคร","Honda City","มือสอง","เกียร์อัตโนมัติ"
"1786479238-2","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2023 Honda City 1.0 (ปี 19-26) SV Sedan","359,000 บาท","'23 Honda City SV 1.0 Turbo ตัว Top รถมือเดียว ไมล์น้อย 5หมื่น กม. ...","30 - 35K กม.","สมุทรปราการ","Honda City","มือสอง","เกียร์อัตโนมัติ"
"1786479238-3","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2025 BMW 220i 2.0 F44 (ปี 20-27) Gran M Sport Coupe","1,250,000 บาท","💢เจ้าของขายเองครับ💢 '25 แท้ BMW 220i M sport Top สุด 💥ออกรถ 20/4/25 ที่ Millennium Auto ...","30 - 35K กม.","สมุทรปราการ","","มือสอง","เกียร์อัตโนมัติ"
"1786479238-4","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2022 Toyota HILUX REVO 2.4 Double Cab Z Edition Entry Pick...","449,000 บาท","เกียร์ออโต้ ขับง่าย จดทะเบียนปี 2022 ( คศ 2021 ) โฉม TOYOTA REVO 4 ประตู 2.4 Z Edition ...","110 - 115K กม.","กรุงเทพมหานคร","Toyota HILUX REVO","มือสอง","เกียร์อัตโนมัติ"
"1786479238-5","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2015 Honda City 1.5 (ปี 14-18) SV Sedan","259,000 บาท","ออกรถวันนี้ 1,000 บาท การันตีคุณภาพรถ ตรวจสภาพ 5 ดาวน์ ฟรีเปลี่ยนถ่ายของเหลว ...","20 - 25K กม.","กรุงเทพมหานคร","Honda City","มือสอง","เกียร์อัตโนมัติ"
"1786479238-6","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2016 Porsche 911 4.0 991 GT3 RS Coupe","15,990,000 บาท","✨Porsche 911 GT3 RS (2016) DNA จากรถแข่งในสนามส่งตรงสู่ 911 คันนี้ ...","10 - 15K กม.","กรุงเทพมหานคร","Porsche 911","มือสอง","เกียร์อัตโนมัติ"
"1786479238-7","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2012 Toyota CAMRY 2.0 (ปี 12-18) G Sedan","259,000 บาท","รถบ้าน พร้อมใช้งาน ซื้อสดไม่มี Vat กุญแจครบ เล่มพร้อมโอน ผ่อน 6,500 บาทตลอด สัญญา ...","205 - 210K กม.","ปทุมธานี","Toyota CAMRY","มือสอง","เกียร์อัตโนมัติ"
"1786479238-8","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2021 Isuzu MU-X 3.0 (ปี 20-26) Ultimate SUV","819,000 บาท","2021 ISUZU MU-X 3.0 ULTIMATE A/T 4x2 (64,063KM) 2ขช3978 - ราคา 819,000.- ...","60 - 65K กม.","กรุงเทพมหานคร","Isuzu MU-X","มือสอง","เกียร์อัตโนมัติ"
"1786479238-9","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2014 Toyota YARIS 1.2 (ปี 13-17) E Hatchback","229,000 บาท","รถHatchback ผ่อนเริ่ม 5,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี ...","105 - 110K กม.","ชลบุรี","Toyota YARIS","มือสอง","เกียร์อัตโนมัติ"
"1786479238-10","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2025 Isuzu D-MAX 2.2 Space Cab (ปี 19-26) L Pickup","589,000 บาท","รถกระบะ ผ่อนเริ่ม 10,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","20 - 25K กม.","ชลบุรี","Isuzu D-MAX","มือสอง","เกียร์ธรรมดา"
"1786479238-11","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2014 Honda City 1.5 (ปี 14-18) SV Sedan","269,000 บาท","รถเก่งเล็ก ผ่อนเริ่ม 5,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","117152 กม.","ระยอง","Honda City","มือสอง","เกียร์อัตโนมัติ"
"1786479238-12","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2023 Isuzu D-MAX 1.9 Cab-4 (ปี 19-26) Hi-Lander Z Pickup  ...","639,000 บาท","รถกระบะ ผ่อนเริ่ม 11,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","110 - 115K กม.","สมุทรปราการ","Isuzu D-MAX","มือสอง","เกียร์อัตโนมัติ"
"1786479238-13","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2021 Toyota Corolla Altis 1.6 (ปี 19-25) G Sedan","459,000 บาท","🔥 ด่วนที่สุด! เลือกรับโปรที่ชอบที่ CARS X ออกรถเดือนนี้ เลือกรับ “ประกันภัยชั้น 1 ” หรือ ...","89245 กม.","กรุงเทพมหานคร","Toyota Corolla Altis","มือสอง","เกียร์อัตโนมัติ"
"1786479238-14","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2020 Isuzu D-MAX 1.9 Cab-4 (ปี 19-26) X-Series Hi-Lander Z...","659,000 บาท","รถกระบะ ผ่อนเริ่ม 11,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","75378 กม.","กรุงเทพมหานคร","Isuzu D-MAX","มือสอง","เกียร์อัตโนมัติ"
"1786479238-15","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2022 Toyota CAMRY 2.5 (ปี 18-24) Premium Sedan","899,000 บาท","🔸CARS X คัดมาให้แล้วรถสวยคุณภาพดี TOYOTA CAMRY 2.5 PREMIUM สีดำ เกียร์ AT ปี 2022 เลขไมล์ ...","93414 กม.","กรุงเทพมหานคร","Toyota CAMRY","มือสอง","เกียร์อัตโนมัติ"
"1786479238-16","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2023 Isuzu D-MAX 1.9 Spark (ปี 19-26) B Pickup","399,000 บาท","รถกระบะ ผ่อนเริ่ม 7,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","130 - 135K กม.","นครปฐม","Isuzu D-MAX","มือสอง","เกียร์ธรรมดา"
"1786479238-17","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2025 Isuzu D-MAX 2.2 Cab-4 (ปี 19-26) Hi-Lander M Pickup  ...","869,000 บาท","รถกระบะ ผ่อนเริ่ม 15,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","20 - 25K กม.","กรุงเทพมหานคร","Isuzu D-MAX","มือสอง","เกียร์อัตโนมัติ"
"1786479238-18","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2020 Mazda 3 2.0 (ปี 19-25) S Sedan","409,000 บาท","รถซีดานสุดเท่ ผ่อนเริ่ม 6,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี ...","100182 กม.","นครปฐม","Mazda 3","มือสอง","เกียร์อัตโนมัติ"
"1786479238-19","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2019 Toyota HILUX REVO 2.8 Double Cab G Pickup - 4WD","759,000 บาท","รถกระบะ ผ่อนเริ่ม 13,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","110 - 115K กม.","สมุทรปราการ","Toyota HILUX REVO","มือสอง","เกียร์อัตโนมัติ"
"1786479238-20","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2020 Ford RANGER 2.2 Open Cab (ปี 15-21) XLT Hi-Rider Pick...","429,000 บาท","รถกระบะ ผ่อนเริ่ม 7,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 เดือน มีรถให้ใช้ระหว่างซ่อม ...","73636 กม.","กรุงเทพมหานคร","Ford RANGER","มือสอง","เกียร์อัตโนมัติ"
"1786479238-21","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2023 Isuzu D-MAX 1.9 Cab-4 (ปี 19-26) Hi-Lander Z Pickup  ...","649,000 บาท","รถกระบะ ผ่อนเริ่ม 11,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","95 - 100K กม.","นครปฐม","Isuzu D-MAX","มือสอง","เกียร์อัตโนมัติ"
"1786479238-22","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2023 Ford EVEREST 2.0 (ปี 22-28) Titanium+ SUV - Titanium ...","1,199,000 บาท","ออกรถ 55 บาท ผ่อนเพียง 20,XXX **-. /เดือน ราคาพิเศษ 1,199,000 ...","98144 กม.","กรุงเทพมหานคร","Ford EVEREST","มือสอง","เกียร์อัตโนมัติ"
"1786479238-23","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2024 Toyota Corolla Cross 1.8 (ปี 20-26) HEV Premium SUV  ...","919,000 บาท","🔸CARS X คัดมาให้แล้วรถสวยคุณภาพดี TOYOTA COROLLA CROSS 1.8 HEV PREMIUM สีบรอนซ์ เกียร์ AT ...","35 - 40K กม.","ระยอง","","มือสอง","เกียร์อัตโนมัติ"
"1786479238-24","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","","2022 Mercedes-Benz C220 2.0 W206 (ปี 22-30) d Avantgarde S...","1,459,000 บาท","ออกรถ 55 บาท ผ่อนเพียง 24,XXX **-. /เดือน ราคาพิเศษ 1,459,000 ราคากลาง : 1,750,000 ...","124261 กม.","กรุงเทพมหานคร","","มือสอง","เกียร์อัตโนมัติ"
"1786479242-25","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2014 Volvo V40 2.0 (ปี 13-16) T5 S Wagon","269,000 บาท","💥 เพียง 269,000.- เท่านั้น! 💥 🔥 VOLVO V40 T5 S TURBO — 213 HP 5 สูบ 🔥 269,000-. แรงสะใจ ...","140 - 145K กม.","กรุงเทพมหานคร","","มือสอง","เกียร์อัตโนมัติ"
"1786479242-26","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2023 Toyota HILUX REVO 2.4 Smart Cab Prerunner Mid Pickup ...","688,000 บาท","เลขไมล์น้อย 40,000 กิโล ( รับประกันเลขไมล์แท้ ) รถบ้านแท้ เจ้าของเดียวจากป้ายแดง Toyota ...","40000 กม.","สมุทรปราการ","Toyota HILUX REVO","มือสอง","เกียร์อัตโนมัติ"
"1786479242-27","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2018 Ford RANGER 3.2 Double Cab (ปี 15-21) WildTrak Pickup...","499,000 บาท","🚘FORD RANGER WILDTRAK 3.2 DOUBLE CAB 4WD 2018‘ สีเทา ตัวท้อป ขับ4 ✅ราคา 499,000 บาท ...","150 - 155K กม.","กรุงเทพมหานคร","Ford RANGER","มือสอง","เกียร์อัตโนมัติ"
"1786479242-28","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2020 Mercedes-Benz GLC300 2.0 W253 (ปี 15-22) e 4MATIC AMG...","1,399,000 บาท","🚘BENZ GLC300e COUPE AMG DYNAMIC SUNROOF FACELIFT 2020 สีเทากราไฟต์ รุ่นท้อป คูเป้ ✅ราคา ...","140 - 145K กม.","กรุงเทพมหานคร","","มือสอง","เกียร์อัตโนมัติ"
"1786479242-29","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2020 Toyota HILUX REVO 2.4 Double Cab Prerunner High Picku...","659,000 บาท","🚘TOYOTA HILUX REVO 2.4 HIGH PRERUNNER DOUBLECAB 2WD AT 2020 สีขาว ตัวท้อป 🛣️วิ่งน้อย ...","30 - 35K กม.","กรุงเทพมหานคร","Toyota HILUX REVO","มือสอง","เกียร์อัตโนมัติ"
"1786479242-30","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2019 BMW X3 2.0 G01 (ปี 18-23) xDrive20d xLine SUV - AWD  ...","1,090,000 บาท","🚘BMW X3 xDrive20d XLINE 4WD G01 2019 ดีเซล สีดำ ✅ราคา 1,090,000 บาท 🛣️เลขไมล์ 120,000 ...","120 - 125K กม.","กรุงเทพมหานคร","BMW X3","มือสอง","เกียร์อัตโนมัติ"
"1786479242-31","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2024 Honda CR-V 2.0 (ปี 23-29) e:HEV ES SUV - e HEV ES","1,180,000 บาท","🚘HONDA CR-V e:HEV ES 2WD 5 ที่นั่ง 2024 สีเทา ไฮบริด ✅ราคา 1,180,000 บาท 🛣️วิ่งน้อย ...","30 - 35K กม.","กรุงเทพมหานคร","Honda CR-V","มือสอง","เกียร์อัตโนมัติ"
"1786479242-32","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2022 ORA Good Cat (ปี 21-27) 400 Pro Hatchback - 0.0","420,000 บาท","GWM ORA GOODCAT 400 PRO 2022 สีขาว ราคา 420,000 บาท วิ่งน้อย 50,000 กม. รถไฟฟ้า ...","50 - 55K กม.","กรุงเทพมหานคร","","มือสอง","เกียร์อัตโนมัติ"
"1786479242-33","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2017 Volkswagen CARAVELLE 2.0 (ปี 17-25) TDi Van","799,000 บาท","🚘Volkswagen caravelle 2.0 BI TDI T6 2017 สีน้ำตาล ✅ราคา 799,000 บาท 🛣️วิ่ง 150,000 ...","150 - 155K กม.","กรุงเทพมหานคร","","มือสอง","เกียร์อัตโนมัติ"
"1786479242-34","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2017 BMW 520d 2.0 G30 (ปี 17-22) Sport Sedan","829,000 บาท","🚘BMW SERIES5 520d SPORT LINE G30 2017 สีดำ มือเดียว ดีเซล ✅ราคา 829,000 บาท 🛣️วิ่ง ...","140 - 145K กม.","กรุงเทพมหานคร","BMW 520d","มือสอง","เกียร์อัตโนมัติ"
"1786479242-35","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2015 Toyota CAMRY 2.0 (ปี 12-18) G Extremo Sedan","399,000 บาท","TOYOTA CAMRY 2.0 G EXTREMO 2015 สีขาวมุก ตัวท้อป ราคา 450,000 บาท ไมล์ 160,000 กิโลเมตร ...","160 - 165K กม.","กรุงเทพมหานคร","Toyota CAMRY","มือสอง","เกียร์อัตโนมัติ"
"1786479242-36","https://www.one2car.com/%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=2&page_size=26","2016 Nissan NP 300 Navara 2.5 King Cab E Pickup","268,000 บาท","NISSAN NAVARA NP300 2.5 E M/T KING CAB ปี 2016 รถมือเดียวป้ายแดง รถใช้น้อยจริง ...","68033 กม.","พระนครศรีอยุธยา","Nissan NP 300 Navara","มือสอง","เกียร์ธรรมดา"
