web_scraper_order,web_scraper_start_url,pagination,data,data2,rating,data3,data4,price,data12,data17
"1786479772-214","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2022 Toyota Corolla Cross 1.8 (ปี 20-26) Hybrid Premium Sa...","🚩🚩TOYOTA COROLLA CROSS 1.8 Hybrid Premium Safety 2021 จด 2022 ไมล์ 91,000Km ...","","90 - 95K กม.","เชียงใหม่","738,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-215","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2023 Ford RANGER 2.0 Double Cab (ปี 22-28) Stormtrak Hi-Ri...","🚩🚩FORD RANGER STORMTRAK NEXT-GEN 2.0L Bi-Turbo 4x4 10AT DOUBLE CAB 2023 ไมล์ 39,000Km ...","Ford RANGER","35 - 40K กม.","เชียงใหม่","1,050,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-216","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2022 Isuzu D-MAX 3.0 Cab-4 (ปี 19-26) Vcross M Pickup - 4W...","🚩🚩ISUZU D-MAX V-CROSS 3.0 Ddi M Hi-Lander Double Cab 6AT 4x4 ไมล์ 80,000Km 2022 ...","Isuzu D-MAX","80 - 85K กม.","เชียงใหม่","848,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-217","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2023 Honda CR-V 2.0 (ปี 23-29) e:HEV RS SUV - e HEV RS AWD...","🚩🚩HONDA CR-V 2.0 e:HEV RS AWD 5 Seats 2023 ไมล์ 77,000Km เครื่องยนต์เบนซิน 4 สูบ DOHC 16 ...","Honda CR-V","75 - 80K กม.","เชียงใหม่","1,250,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-218","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2025 Isuzu D-MAX 2.2 Space Cab (ปี 19-26) L Pickup","รถปีใหม่ ไมล์น้อยผ่อนเริ่ม 10,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี ...","Isuzu D-MAX","5 - 10K กม.","ชลบุรี","599,000 บาท","มือสอง","เกียร์ธรรมดา"
"1786479772-219","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2019 Nissan X-TRAIL 2.5 (ปี 14-20) S SUV","รถ SUV ผ่อนเริ่ม 8,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Nissan X-TRAIL","120 - 125K กม.","ฉะเชิงเทรา","509,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-220","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2016 Toyota YARIS 1.2 (ปี 13-17) E Hatchback","ออกรถ 55 บาท ผ่อนเพียง 4,XXX **-. /เดือน ราคาพิเศษ 269,000 ราคากลาง : 240,000 ...","Toyota YARIS","33143 กม.","ระยอง","269,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-221","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2020 Nissan NP 300 Navara 2.5 Double Cab Calibre V Pickup ...","รถกระบะ ผ่อนเริ่ม 8,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Nissan NP 300 Navara","130 - 135K กม.","กรุงเทพมหานคร","429,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-222","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2022 Mazda CX-5 2.0 (ปี 17-26) SP SUV","🔸CARS X คัดมาให้แล้วรถสวยคุณภาพดี MAZDA CX-5 2.0 SP สีแดง เกียร์ AT ปี 2021 เลขไมล์ ...","Mazda CX-5","125 - 130K กม.","กรุงเทพมหานคร","669,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-223","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2023 Isuzu D-MAX 1.9 Cab-4 (ปี 19-26) Hi-Lander Z Pickup  ...","รถกระบะ ผ่อนเริ่ม 13,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Isuzu D-MAX","49450 กม.","ปทุมธานี","669,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-224","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2019 Honda ACCORD 1.5 (ปี 19-23) Turbo EL Sedan","รถเล็กระดับผู้บริหาร ผ่อนเริ่ม 11,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี ...","Honda ACCORD","140 - 145K กม.","ชลบุรี","649,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-225","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2022 Honda HR-V 1.5 (ปี 22-28) e:HEV RS SUV - e HEV RS","🔸CARS X คัดมาให้แล้วรถสวยคุณภาพดี HONDA HR-V 1.5 e:HEV RS สีเทาดำ เกียร์ AT ปี 2021 ...","Honda HR-V","70 - 75K กม.","กรุงเทพมหานคร","749,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479772-226","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=62&page_size=26","2024 Toyota INNOVA 2.0 (ปี 23-29) Zenix HEV Premium Wagon ...","ออกรถ 55 บาท ผ่อนเพียง 18,XXX **-. /เดือน ราคาพิเศษ 1,089,000 ราคากลาง : 1,200,000 ...","Toyota INNOVA","19833 กม.","กรุงเทพมหานคร","1,089,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-227","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2023 Isuzu D-MAX 1.9 Cab-4 (ปี 19-26) X-Series Speed Picku...","รถกระบะ ผ่อนเริ่ม 11,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Isuzu D-MAX","20 - 25K กม.","กรุงเทพมหานคร","649,000 บาท","มือสอง","เกียร์ธรรมดา"
"1786479777-228","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2021 MG ZS 1.5 (ปี 17-25) X SUV","รถเล็กขวัญใจวัยรุ่น ผ่อนเริ่ม 5,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 เดือน ...","","70 - 75K กม.","ชลบุรี","349,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-229","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2019 Honda BR-V 1.5 (ปี 16-20) SV SUV","รถ MPV ผ่อนเริ่ม 7,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","","85 - 90K กม.","ชลบุรี","429,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-230","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2022 Toyota VIOS 1.5 (ปี 17-22) Entry Sedan","รถเล็ก ผ่อนเริ่ม 5,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Toyota VIOS","75 - 80K กม.","สมุทรปราการ","349,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-231","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2017 Toyota FORTUNER 2.4 (ปี 15-25) V SUV","🔸CARS X คัดมาให้แล้วรถสวยคุณภาพดี TOYOTA FORTUNER 2.4 V สีบรอนซ์ เกียร์ AT ปี 2017 ...","Toyota FORTUNER","150 - 155K กม.","กรุงเทพมหานคร","789,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-232","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2019 Mercedes-Benz C220 2.0 W205 (ปี 14-22) d Avantgarde S...","2019 Mercedes-Benz C220 2.0 W205 (ปี 14-22) d Avantgarde Sedan Benz C220d Avantgarde ...","","115 - 120K กม.","กรุงเทพมหานคร","890,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-233","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2020 BMW 320d 2.0 F34 (ปี 13-16) Gran Turismo Sport Sedan ...","7กฒ6887 BMW 320d 2.0 GT Sport F34 ปี 2020 🚩🚩ราคาเพียง 820,000 ✅ วิ่ง 11x,xxx กม ...","BMW 320d","110 - 115K กม.","กรุงเทพมหานคร","820,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-234","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2024 Ford EVEREST 2.0 (ปี 22-28) WildTrak SUV - 4WD","5ขข8900 FORD EVEREST, 2.0 BI-TURBO 4WD WILDTRAK ปี 2024 ✅️ ไม่เคยทำสี 🔥 ซื้อโปรแกรม SSP ...","Ford EVEREST","35 - 40K กม.","กรุงเทพมหานคร","1,350,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-235","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2022 BMW X3 2.0 G01 (ปี 18-23) xDrive20d M Sport SUV","2ขภ5519 #BMW X3 xDrive20d M Performance Edition ปี 2022 ✅️วิ่ง 84,000 km 🔥 BSI วารันตี ...","BMW X3","80 - 85K กม.","กรุงเทพมหานคร","1,550,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-236","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2018 BMW 320d 2.0 F30 (ปี 11-16) Sedan","2018 BMW 320d 2.0 F30 (ปี 12-19) (Iconic) Sedan ✅ตรวจสภาพรถ INSPECTION ทั้งคัน ทั้งระบบ 💯 ...","BMW 320d","140 - 145K กม.","กรุงเทพมหานคร","650,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-237","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2021 BMW 320d 2.0 G20 (ปี 19-26) M Sport Sedan","2ขย3314 #Bmw 320d M Sport 2.0 G20 ปี 2021 ✅เลขไมล์เพียง 70,000 km. • เจ้าของเดียว • ...","BMW 320d","70 - 75K กม.","กรุงเทพมหานคร","1,150,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-238","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2021 BMW X3 2.0 G01 (ปี 18-23) xDrive20d M Sport SUV","#BMW X3 Xdrive20d Msport G01 2021 💥เลขไมล์ 85,000 km 🏷️ราคาเพียง 1,490,000 ...","BMW X3","85 - 90K กม.","กรุงเทพมหานคร","1,490,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-239","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2022 BMW X1 2.0 F48 (ปี 16-20) sDrive20d M Sport SUV","3ขท 8832 #BMW X1 S Drive 20d M Sport LCI F48 ปี 2022 🔥วิ่ง 87,000 กม 📍BSI 10 ปี 100,000 ...","BMW X1","85 - 90K กม.","กรุงเทพมหานคร","1,050,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479777-240","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2018 Toyota Yaris Ativ 1.2 (ปี 17-22) G Sedan","⭐ ดอกเบี้ยพิเศษ 1.99% ⭐ จัดเต็มฟรีดาวน์ออกรถ 0 บาท ⭐ วารันตีศูนย์ TOYOTA ทั่วประเทศ ...","Toyota Yaris Ativ","70 - 75K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
"1786479777-241","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2023 Honda HR-V 1.5 (ปี 22-28) e:HEV E SUV - e HEV E","⭐ ดอกเบี้ยพิเศษ 1.99% ⭐ จัดเต็มฟรีดาวน์ออกรถ 0 บาท ⭐ วารันตีศูนย์ HONDA ทั่วประเทศ ...","Honda HR-V","70 - 75K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
"1786479777-242","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2019 Toyota FORTUNER 2.8 (ปี 15-25) V SUV","⭐ ดอกเบี้ยพิเศษ 1.99% ⭐ จัดเต็มฟรีดาวน์ออกรถ 0 บาท ⭐ วารันตีศูนย์ TOYOTA ทั่วประเทศ ...","Toyota FORTUNER","165 - 170K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
"1786479777-243","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2019 Toyota HILUX REVO 2.4 Double Cab J Plus Prerunner Pic...","⭐ ดอกเบี้ยพิเศษ 1.99% ⭐ จัดเต็มฟรีดาวน์ออกรถ 0 บาท ⭐ วารันตีศูนย์ TOYOTA ทั่วประเทศ ...","Toyota HILUX REVO","70 - 75K กม.","กรุงเทพมหานคร","","","เกียร์ธรรมดา"
"1786479777-244","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=63&page_size=26","2019 Ford RANGER 2.2 Open Cab (ปี 15-21) XL Pickup","FORD RANGER 2.2 XL+ CAB HI-RIDER MT 2019 ออกรถ 0 บาท จัดได้ 319,000 บ. Line:@BBCAR1 ...","Ford RANGER","160 - 165K กม.","กรุงเทพมหานคร","","","เกียร์ธรรมดา"
"1786479782-245","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=64&page_size=26","2018 Mitsubishi TRITON 2.4 Double Cab (ปี 14-19) GLS Plus ...","⚡ ดอกเบี้ยถูกเริ่ม 2.59% ⚡ ผ่อนสบายๆนาน 84 เดือน ✅ มีบริการไฟแนนซ์เซ็นเอกสารถึงที่ ✅ ...","Mitsubishi TRITON","195 - 200K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
