web_scraper_order,web_scraper_start_url,pagination,data,data2,rating,data3,data4,price,data12,data17
"1786479718-11","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Honda CIVIC 1.5 FC (ปี 16-20) Turbo RS Sedan","ออกรถ 55 บาท ผ่อนเพียง 10,XXX **-. /เดือน ราคาพิเศษ 609,000 ราคากลาง : 665,000 ...","Honda CIVIC","127424 กม.","สมุทรปราการ","609,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-12","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Toyota CAMRY 2.0 (ปี 18-24) G Sedan","🔸 CARS X คัดมาให้แล้วรถสวยคุณภาพดี TOYOTA CAMRY 2.0 G สีบรอนซ์ เกียร์ AT ปี 2020 เลขไมล์ ...","Toyota CAMRY","170 - 175K กม.","กรุงเทพมหานคร","659,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-13","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2017 BMW 320d 2.0 F30 (ปี 11-16) Luxury Sedan","ออกรถ 55 บาท ผ่อนเพียง 9,XXX **-. /เดือน ราคาพิเศษ 559,000 ราคากลาง : 650,000 ...","BMW 320d","87401 กม.","กรุงเทพมหานคร","559,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-14","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Toyota VIOS 1.5 (ปี 17-22) High Sedan","รถเก๋งเล็ก ผ่อนเริ่ม 7,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Toyota VIOS","65 - 70K กม.","กรุงเทพมหานคร","399,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-15","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2017 Honda ACCORD 2.0 (ปี 13-19) E Sedan","ออกรถ 55 บาท ผ่อนเพียง 9,XXX **-. /เดือน ราคาพิเศษ 579,000 ราคากลาง : 570,000 ...","Honda ACCORD","123965 กม.","สมุทรปราการ","579,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-16","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2024 Toyota YARIS 1.2 (ปี 17-25) Smart Hatchback","🙏 สวัสดีครับ ทาง HAPPY CAR ยินดีต้อนรับลูกค้าทุกๆ ท่าน 👨‍👩‍👦🙂 ✋ เชิญดูข้อมูลรถยนต์ต่างๆ ...","Toyota YARIS","55000 กม.","กรุงเทพมหานคร","459,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-17","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2017 Mazda 2 1.3 (ปี 15-25) High Plus Sedan","ขาย MAZDA 2 HighPlus สีขาวมุก เบาะหนังสีดำ เกียร์ออโต้ ปี 2017 จอLCD พวงมาลัยมัลติฟังชั่น ...","Mazda 2","115 - 120K กม.","ราชบุรี","256,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-18","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Mercedes-Benz C200 1.5 W205 (ปี 14-22) AMG Dynamic Co...","Benz C200 Coupe amg Dynamic w205 รถมือเดียวออกห้าง เช็คศูนย์ตลอด ☆ พวงมาลัยมัลติฟังก์ชั่น ...","Mercedes-Benz C200","70 - 75K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
"1786479718-19","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Honda CR-V 2.4 (ปี 17-21) E SUV","HONDA CR-V 2.4 E AT 2020 ออกรถ 0 บาท รหัสรถ 5D132 Line: ID @BBCAR05 คลิ๊กที่ลิงก์ เพื่อดู ...","Honda CR-V","130 - 135K กม.","สมุทรสาคร","","","เกียร์อัตโนมัติ"
"1786479718-20","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Toyota HILUX REVO 2.4 Double Cab Z Edition J Plus Pic...","TOYOTA HILUX REVO 2.4 ENTRY Z EDITION DOUBLE CAB DOUBLE CAB AT 2020 ออกรถ 0 บาท รหัสรถ ...","Toyota HILUX REVO","185 - 190K กม.","สมุทรสาคร","","","เกียร์อัตโนมัติ"
